date,type,actual,consensus,surprise,surprise_pct,rating,vix,trend,1d,2d,3d,5d
2020-09-01,CPI,1.3910228912373812,0.8333132428736864,0.5577096483636949,66.92677131116139,5.0,26.1200008392334,downtrend,0.9519997073675748,1.238911906677175,-0.6835072864496968,-0.3416830901549921
2020-10-01,CPI,1.2303863428671624,0.8161437306980971,0.4142426121690653,50.75608579566476,5.0,26.700000762939453,downtrend,-0.3733930048658228,-2.3200266598972803,-1.7936372552922266,-1.9833954259220952
2020-11-01,CPI,1.1757452138405844,0.9690335721691054,0.20671164167147904,21.331731697259084,5.0,38.02000045776367,downtrend,-0.5801417052215327,1.5764498841955008,1.7530385950083751,-1.5891305160468752
2020-12-01,CPI,1.3204191315779434,1.1319575572117269,0.18846157436621658,16.64917321020772,4.0,20.770000457763672,downtrend,-0.7937106541578006,0.006304115484190968,-1.4603708666109954,-0.10159757543718478
2021-01-01,CPI,1.3553199782346148,1.2325846986108762,0.12273527962373865,9.957553404813591,3.0,22.75,downtrend,-0.7426524280729724,-2.780202156250896,-3.6371935572181116,-4.106882767700196
2021-02-01,CPI,1.667502410800381,1.2923272345516785,0.37517517624870256,29.030973442175785,5.0,30.239999771118164,downtrend,-0.6447098456523288,-1.5263440417180532,-1.7894911550259944,-2.1842060054666255
2021-03-01,CPI,2.623645747764214,1.3567326614263446,1.2669130863378693,93.37971454199037,5.0,23.350000381469727,downtrend,0.007077555730427552,-1.0775547282957672,-1.715586982408328,-2.289783441826626
2021-04-01,CPI,4.137373453318349,1.5621698041808167,2.5752036491375323,164.84787007440195,5.0,17.329999923706055,downtrend,-0.4362982373291996,0.2399932244453798,-0.45810063751809377,0.0
2021-10-01,CPI,6.226591220771449,5.032545534381942,1.194045686389507,23.72647556255346,5.0,21.100000381469727,downtrend,-0.25453810769934415,-1.2178059848492377,-0.6604633993074092,-2.387309467525284
2021-11-01,CPI,6.865559520296194,5.3807484956241245,1.4848110246720694,27.594878777173605,5.0,16.40999984741211,downtrend,0.44384955677724813,-0.594157389654566,0.45069068535572254,1.761787604806269
2022-02-01,CPI,7.949220898953979,6.395756191287032,1.5534647076669472,24.288991969131647,5.0,21.959999084472656,downtrend,0.33874131737623553,-0.44450387741769004,-1.9121637329795869,-2.504931847675611
2022-03-01,CPI,8.540780148538584,6.857072478900821,1.683707669637763,24.554322195346824,5.0,33.31999969482422,downtrend,-3.4182432659937327,-2.4345595324558387,-0.750192344779348,-2.498226131473281
2022-04-01,CPI,8.235161744022502,7.3866152661122015,0.8485464779103005,11.48762250828472,4.0,19.6299991607666,downtrend,-0.695005436474724,-2.938536936866961,-3.7241524721560255,-5.484259545844761
2022-05-01,CPI,8.530051713089225,7.721377019987379,0.808674693101846,10.473192683229032,4.0,33.400001525878906,downtrend,0.6741987023570875,1.2288875924872993,-1.5446234456899188,-2.1419949400878733
2022-06-01,CPI,8.999298141923106,7.998792385452883,1.0005057564702229,12.508210092936114,4.0,25.690000534057617,downtrend,0.05160410581030957,-0.16348746653179602,-2.004823233970484,-1.8241195058754216
2022-08-01,CPI,8.216255059541266,8.450381808880325,-0.2341267493390582,-2.7706055730288948,-2.0,22.84000015258789,uptrend,-2.1159735016537766,-0.5748284671920791,-0.6081467561819467,-1.4078934251430912
2022-12-01,CPI,6.410831677385809,8.126287471743073,-1.715455794357264,-21.10995704154313,-5.0,19.84000015258789,uptrend,1.2575776457059085,-0.16070129015725193,1.1251916999697706,3.2243311024836983
2023-01-01,CPI,6.340296309929161,7.69487639432019,-1.3545800843910287,-17.60366268379416,-4.0,21.670000076293945,uptrend,1.3700182081778998,1.7938343133914552,3.6664607143508006,2.49360748590338
2023-02-01,CPI,5.957648712766894,7.343629411515958,-1.385980698749064,-18.873238572954534,-4.0,17.8700008392334,uptrend,0.12939357778899138,-1.3681151441002146,-2.0983678732480313,-2.4219225245936182
2023-04-01,CPI,4.946947488062325,6.42146119693779,-1.474513708875465,-22.96227702160091,-5.0,18.700000762939453,uptrend,0.497188366587114,1.5478421931280069,1.8105056497632301,0.37524937558922766
2023-05-01,CPI,4.125314539356473,5.953075533146602,-1.827760993790129,-30.702801998953205,-5.0,16.079999923706055,uptrend,2.491998156050598,3.0641017797252594,2.045970810241706,0.2812300935421529
2024-08-01,CPI,2.6109140322338353,3.189480809506603,-0.5785667772727678,-18.139841931272482,-4.0,18.59000015258789,uptrend,3.116147069605636,3.6617370702152154,1.342981678354765,0.010494550854330738
2024-09-01,CPI,2.432541464144644,3.09689628026919,-0.664354816124546,-21.452278539557632,-5.0,15.0,uptrend,1.2890048886526444,1.8618777159067394,1.8516454995725775,3.007656192279674
2024-10-01,CPI,2.5714034967967203,2.9241529517146723,-0.35274945491795195,-12.063303826535675,-4.0,19.260000228881836,uptrend,-0.8427349825122912,-1.7768333601484154,-2.9850625110703537,-3.553666720296831
