date,type,actual,consensus,surprise,surprise_pct,rating,1d,2d,3d,5d
2023-09-01,NFP,158000.0,181666.66666666666,-23666.666666666657,-13.027522935779812,-3,-1.4022256083483402,-1.1597350026495339,-0.8856258946299118,-1.2229808024239386
2023-10-01,NFP,186000.0,193833.33333333334,-7833.333333333343,-4.041272570937236,0,-2.151204692612205,-0.7707342719756699,-1.2654088979252767,-0.17257315178841842
2023-11-01,NFP,141000.0,188833.33333333334,-47833.33333333334,-25.330979699911744,-4,2.2796654504036185,2.9729626555176103,1.9741324338674011,5.240903054862722
2023-12-01,NFP,269000.0,174500.0,94500.0,54.15472779369628,5,-0.3979143212908948,1.7420811585303448,3.0970687067171565,1.6668336858504191
2024-01-01,NFP,119000.0,176500.0,-57500.0,-32.577903682719544,-5,0.4170288701212263,-1.1087404433152501,-2.0547133970409353,-1.7190515191939493
2024-02-01,NFP,222000.0,171666.66666666666,50333.33333333334,29.32038834951457,4,-2.2088612798519836,-4.1836391613103325,-3.2471468161449364,-4.275238829235425
2024-03-01,NFP,246000.0,182500.0,63500.0,34.794520547945204,5,-0.40226046092005235,1.0162009400224647,1.6089898742825626,1.3337686059105143
2024-04-01,NFP,118000.0,197166.66666666666,-79166.66666666666,-40.15215553677092,-5,-0.5510735739089891,-0.572680846571533,0.14045608440794707,-1.264192880685645
2024-05-01,NFP,193000.0,185833.33333333334,7166.666666666657,3.856502242152461,0,0.42909691516961934,1.4453641097202592,1.840561285708635,1.840561285708635
2024-06-01,NFP,87000.0,194500.0,-107500.0,-55.26992287917738,-5,1.1681249069911446,1.910489206021147,1.7576341535855948,-0.7750981108028033
2024-07-01,NFP,88000.0,164166.66666666666,-76166.66666666666,-46.39593908629441,-5,0.7785608195358144,2.102080987351002,2.9473889328900884,2.713805421306997
2024-08-01,NFP,71000.0,159000.0,-88000.0,-55.34591194968554,-5,3.116147069605636,3.6617370702152154,1.343007007117889,0.010511436696413329
2024-09-01,NFP,240000.0,133833.33333333334,106166.66666666666,79.3275217932752,5,1.2889967889546539,1.8618778686824982,1.8516538569755947,3.007664644538765
2024-10-01,NFP,44000.0,132833.33333333334,-88833.33333333334,-66.87578419071518,-5,-0.8427026489950106,-1.776817413451941,-2.985054878116097,-3.5536510620722437
2024-11-01,NFP,261000.0,120500.0,140500.0,116.597510373444,5,1.552185568961762,2.0915857553229737,-0.7045341491614228,1.8163683317162906
