Date,Event_Type,Actual,Consensus,Previous
2012-06-01,CPI,1.653870448297634,1.7379429374660749,1.7379429374660749
2012-07-01,CPI,1.4175114798464783,1.653870448297634,1.653870448297634
2012-07-01,NFP,145.0,79.0,108.0
2012-08-01,CPI,1.6859349154821235,1.4175114798464783,1.4175114798464783
2012-08-01,NFP,181.0,145.0,79.0
2012-09-01,CPI,1.9497168982819613,1.6859349154821235,1.6859349154821235
2012-09-01,NFP,179.0,181.0,145.0
2012-10-01,CPI,2.1556780595369363,1.9497168982819613,1.9497168982819613
2012-10-01,NFP,151.0,179.0,181.0
2012-11-01,CPI,1.7960197033926262,2.1556780595369363,2.1556780595369363
2012-11-01,NFP,157.0,151.0,179.0
2012-12-01,CPI,1.7595049796895523,1.7960197033926262,1.7960197033926262
2012-12-01,NFP,249.0,157.0,151.0
2013-01-01,NFP,183.0,249.0,157.0
2013-01-01,CPI,1.684061762098299,1.7595049796895523,1.7595049796895523
2013-02-01,CPI,2.0181404902574807,1.684061762098299,1.684061762098299
2013-02-01,NFP,288.0,183.0,249.0
2013-03-01,NFP,144.0,288.0,183.0
2013-03-01,CPI,1.5187472411246183,2.0181404902574807,2.0181404902574807
2013-04-01,NFP,184.0,144.0,288.0
2013-04-01,CPI,1.138808047576867,1.5187472411246183,1.5187472411246183
2013-05-01,NFP,222.0,184.0,144.0
2013-05-01,CPI,1.3903888279197085,1.138808047576867,1.138808047576867
2013-06-01,CPI,1.7157935271568725,1.3903888279197085,1.3903888279197085
2013-06-01,NFP,184.0,222.0,184.0
2013-07-01,NFP,112.0,184.0,222.0
2013-07-01,CPI,1.885471805415806,1.7157935271568725,1.7157935271568725
2013-08-01,NFP,255.0,112.0,184.0
2013-08-01,CPI,1.538809488600279,1.885471805415806,1.885471805415806
2013-09-01,CPI,1.0947341081747997,1.538809488600279,1.538809488600279
2013-09-01,NFP,175.0,255.0,112.0
2013-10-01,CPI,0.8767991434911471,1.0947341081747997,1.0947341081747997
2013-10-01,NFP,220.0,175.0,255.0
2013-11-01,NFP,275.0,220.0,175.0
2013-11-01,CPI,1.2328701961954458,0.8767991434911471,0.8767991434911471
2013-12-01,CPI,1.5128383667573297,1.2328701961954458,1.2328701961954458
2013-12-01,NFP,57.0,275.0,220.0
2014-01-01,CPI,1.557758795574915,1.5128383667573297,1.5128383667573297
2014-01-01,NFP,188.0,57.0,275.0
2014-02-01,CPI,1.1204746347724948,1.557758795574915,1.557758795574915
